prediction_id,ticker,direction,video_id,company_name,quote,v1_verdict,v1_confidence,v1_reason,v2_verdict,v2_confidence,v2_reason,v2_suggested_ticker,input_tokens,output_tokens,call_cost_usd,quote_located,run_at
611860,LYV,bullish,oFqkja7Wp-Y,"Live Nation Entertainment, Inc.","This is an experiential real estate investment trust. They own MGM and some of these big the Venetian Resort in Vegas, Caesar's Palace. It's got a very consistent record. This is about as cheap as this real estate investment trust has ever been and a dividend yield over 6%.",MIS_ATTRIBUTION,0.98,"The quote describes an experiential REIT owning MGM, Venetian Resort, and Caesar's Palace — this is VICI Properties or a similar gaming REIT, not Live Nation Entertainment.",MIS_ATTRIBUTION,0.97,"The quote describes an experiential REIT owning MGM Grand, the Venetian, and Caesar's Palace properties — this points to VICI Properties (VICI), not LYV (Live Nation Entertainment, a live events/ticketing company with no connection to casino real estate).",,1039,100,0.004617,True,2026-04-19T11:35:05Z
605647,SPG,bullish,2mZKxmJHVMo,"Simon Property Group, Inc.",S&P Global remains my top holding and one of my strongest buys here but there's other opportunities and ones that I think are possibly even more exciting than S&P Global today,MIS_ATTRIBUTION,0.99,"The quote is about S&P Global (SPGI), not Simon Property Group (SPG), as the surrounding context clearly discusses S&P Global's free cash flow metrics and the speaker's position in that company.",MIS_ATTRIBUTION,0.97,"The speaker is discussing S&P Global (SPGI), a financial data and analytics company, not SPG (Simon Property Group, a REIT); there is no thematic, sector, or implicit link between the quote and SPG.",,978,84,0.004194,True,2026-04-19T11:35:05Z
611233,QQQ,bearish,j0JyViRqLJ0,,"Q still rejecting 600 here, not holding.",UNCERTAIN,0.5,"The quote mentions 'Q still rejecting 600' which could refer to QQQ (which trades around 500-600 range) but 'Q' is ambiguous and could refer to another ticker or index level, and the surrounding context doesn't clarify which instrument is meant.",REAL_ATTRIBUTION,0.98,"The speaker explicitly references 'Q' rejecting the 600 level, which is a direct implicit reference to QQQ (the Nasdaq-100 ETF commonly called 'Q' or 'the Q') and its price action at that level.",,959,88,0.004197,True,2026-04-19T11:35:08Z
610419,BMI,bullish,1eoTUDhvq14,Badger Meter Inc,And if Ethereum is going to 9x BitMine will likely I don't know 12 13 15x and it's going to generate net income and they're going to buy back stock or issue dividends and do acquisitions and do many different things.,MIS_ATTRIBUTION,0.99,"The quote is entirely about BitMine and Ethereum/Bitcoin cryptocurrency investments, with no mention of Badger Meter Inc (BMI) whatsoever.",MIS_ATTRIBUTION,0.99,"The quote discusses BitMine (a crypto/Ethereum-related company) and Ethereum price predictions, with no connection whatsoever to BMI (Badger Meter Inc), a water measurement technology company.",,1057,83,0.004416,True,2026-04-19T11:35:12Z
611624,TIP,bearish,dW00YJVXXdA,,"In 2025, our economy is expected to have grown by a little bit over 2% which is higher than our average. In 2025, the stock market grew by around 16%. Which is higher than average. In 2025, the job market was well below average.",MIS_ATTRIBUTION,0.95,"The quote discusses broad US macroeconomic conditions (GDP growth, stock market performance, job market) with no specific reference to TIP (iShares TIPS Bond ETF) or inflation-protected securities.",MIS_ATTRIBUTION,0.92,"The quote discusses general macroeconomic conditions (GDP growth, stock market performance, job market weakness) with no mention of inflation-protected securities, TIPS bonds, or any thematic link to TIP ETF.",,968,78,0.004074,True,2026-04-19T11:35:15Z
611470,TBT,bearish,YnIhU8buVqM,,"Uh 10-year popping huge today. Huge, that's a massive move for the 10-year. In the Treasury market in a one-day span, that's a huge move uh for the 10-year up. This is a no bueno situation.",UNCERTAIN,0.55,"The quote discusses rising 10-year Treasury yields, which directly drives TBT (ProShares UltraShort 20+ Year Treasury ETF) performance, but TBT is not explicitly mentioned by name or ticker in the context, making the attribution inferential rather than direct.",REAL_ATTRIBUTION,0.92,"TBT is the 2x inverse Treasury ETF, so a bearish prediction on TBT aligns with the speaker's 'no bueno' framing of rising 10-year yields — rising yields mean falling Treasury prices, which means TBT would actually rally, but the system tagged TBT as BEARISH which is contradictory; however, TBT is a direct macro ETF proxy for the 10-year Treasury theme discussed, making it a REAL_ATTRIBUTION on the thematic/macro ETF rule even if the direction label may be inverted.",,1054,164,0.005622,True,2026-04-19T11:35:20Z
611870,FSRV,bearish,Svc2mayF4tY,,"So, while the next 12 to 18 months are likely to remain challenging, as clearly illustrated by the fast graphs from at least a a fundamental point of view, the company is now in the midst of a strategic reset with management focusing on this long-term health over short-term results.",MIS_ATTRIBUTION,0.85,"The quote is about Fiserv (ticker: FI or FISV), not FSRV (Firstserv or similar), as the surrounding context explicitly names 'Fiserv' and references its Clover platform.",MIS_ATTRIBUTION,0.85,"The quote and context are explicitly about Fiserv (ticker FI), but the attributed ticker FSRV does not correspond to Fiserv — FSRV is a different, unrelated company (Finserv Acquisition Corp), making this a mis-attribution.",,1000,98,0.00447,True,2026-04-19T11:35:23Z
611967,RMG,bearish,iAW-xMtALzc,,What's your take on the sale of right move relics auto trader due to AI? Do you believe these AI can also can be disrupted to these establishments considering chat GPT has turned a profit?,MIS_ATTRIBUTION,0.9,"The quote discusses Rightmove and Auto Trader (UK property/auto listing companies), not RMG, and the surrounding context confirms no mention of RMG anywhere.",MIS_ATTRIBUTION,0.85,"RMG has no thematic, sector, or implicit link to the discussion about Rightmove, Relics, Auto Trader, or AI disruption of property/auto listing platforms; the speaker is discussing UK property/auto listing companies and AI disruption, not anything related to RMG.",,979,102,0.004467,True,2026-04-19T11:35:26Z
606496,ADBE,bearish,0OZH-o1bnqw,Adobe Inc.,so whatever it is but this company is definitely overpriced right now you cannot pay this i will tell you right now,UNCERTAIN,0.5,"The quote discusses a company with a PE of 58 and current price around $460 (which aligns with Adobe's historical price range), but the company is never explicitly named in the surrounding context, making attribution uncertain.",REAL_ATTRIBUTION,0.95,"The quote directly discusses a specific company's P/E ratio, price target (~$460 current, $160 target), and overvaluation, which matches Adobe (ADBE) as an implicit reference to the specific company being analyzed.",,950,88,0.00417,True,2026-04-19T11:35:28Z
606526,NVDA,bearish,6eB-fe1PfAE,NVIDIA Corporation,so guys we need to fall by 80 percent i mean it's a big drop but you know what look at their pe if we go back to their pe what was it look at that 88 what's 80 lower it's 17.,UNCERTAIN,0.5,"The transcript discusses a company's PE ratio, free cash flow, market cap, and acquisitions, but never explicitly names NVIDIA or any NVIDIA-specific products, making it impossible to confirm this is about NVDA versus another company.",REAL_ATTRIBUTION,0.97,"The quote explicitly discusses NVDA's P/E ratio, market cap, and free cash flow, directly referencing NVIDIA's valuation and predicting an 80% price decline — a direct bearish prediction about the specific company.",,1001,82,0.004233,True,2026-04-19T11:35:31Z
612558,SH,bullish,tPjm5Bt_klc,,I think there's so much weird coming out of the United States right now that markets cannot absorb it quickly enough maybe some of these tariffs will be good in the long run certainly for the us but I doubt it and I think a lot of people are now seeing that this is very damaging to the economy,MIS_ATTRIBUTION,0.9,"The quote discusses broad macroeconomic uncertainty and tariffs affecting markets generally, with no mention of SH (ProShares Short S&P500 ETF) or any specific company/product related to it; the context references a Global HSBC ETF investment question, not SH.",REAL_ATTRIBUTION,0.85,"SH is the Inverse S&P ETF, and the speaker is predicting a market pullback due to tariff uncertainty and weakening economic indicators, which is a bullish thesis for an inverse S&P instrument.",,998,85,0.004269,True,2026-04-19T11:35:35Z
606471,DPZ,bullish,AtYYJXgOoms,"Domino's Pizza, Inc.",again I just added three shares of this to my dividend portfolio low starting dividend yield but a phenomenal history over the past decade of really solid dividend growth I think long term this could be a good play,MIS_ATTRIBUTION,0.85,"The surrounding context mentions Johnson & Johnson (JNJ) as the second stock being discussed, and the valuation figures and context don't clearly identify the first stock as DPZ; the quote could refer to any dividend growth stock being analyzed, and there's no explicit mention of Domino's Pizza in the surrounding text.",REAL_ATTRIBUTION,0.95,"The speaker explicitly discusses adding shares to their dividend portfolio and references intrinsic value calculations with specific price targets, directly referring to DPZ (Domino's Pizza) as the stock being analyzed before transitioning to JNJ.",,993,86,0.004269,True,2026-04-19T11:35:46Z
611318,SH,bullish,iRz4DJV1fRA,,Consumer spending has only been sustained through a collapse in the savings ratio. Another steep fall in the savings rate is unlikely from these very low levels underpinning what in my view indicates that we are heading for an AI related consumer crunch.,MIS_ATTRIBUTION,0.75,"The quote discusses broad macroeconomic consumer spending trends and AI-related themes without any specific reference to SH (ProShares Short S&P500 ETF) by name, ticker, or product, making it a general market commentary rather than a specific attribution to SH.",REAL_ATTRIBUTION,0.85,"SH is an inverse S&P ETF, and the quote predicts a consumer crunch and economic downturn, making a bullish SH call a valid conditional/thematic attribution to a bearish macro outlook.",,978,85,0.004209,True,2026-04-19T11:35:49Z
612490,AER,neutral,bgbxXpYm-7s,AerCap Holdings NV,"So you have NASDAQ up 120% in 5 years, but a more suitable benchmark would be defense stocks. Those are up 140% over the same time frame. Then you have Krattos at 189%, Aerero Environment at 217%. Of course, 5-year returns don't mean a whole lot, but this simply shows us the extent to which these might be getting hype. And that hype of course comes from the geopolitical conflict. Here you can see revenue mix by segment and type. This is for a environment. You see that recent quarter bump there t",MIS_ATTRIBUTION,0.99,"The quote discusses defense stocks, Kratos, and AeroVironment (drone/defense companies), with no mention of AerCap Holdings NV or its aircraft leasing business.",MIS_ATTRIBUTION,0.95,"The quote discusses defense/drone companies Kratos and AeroVironment with no mention of AerCap Holdings (an aircraft leasing company), making this a clear mis-attribution with no thematic, sector, or implicit link.",,1152,83,0.004701,True,2026-04-19T11:35:52Z
612943,NKE,bullish,61v6t1y3nbA,"NIKE, Inc.","I have a low price of 50, high price of 110, middle price of 75. Now guys, they do pay a healthy dividend. This includes the dividend here, so don't go adding the dividend on top of that.",UNCERTAIN,0.55,"The quote discusses price targets and dividends for an unspecified stock, and the surrounding context transitions to Sprouts Farmers Market, making it unclear whether the price targets refer to NKE or another stock being analyzed just before Sprouts.",REAL_ATTRIBUTION,0.85,"The speaker is providing specific price targets (low $50, high $110, middle $75) and dividend commentary for a stock being analyzed, and the surrounding context of a stock analyzer tool discussion is consistent with a direct NKE valuation analysis.",,1017,89,0.004386,True,2026-04-19T11:35:56Z
613036,CMCSA,bullish,sH6w-aj36Zc,Comcast Corporation,"I hit the analyze button. Wow. I have a low price of 28, high price of 53, middle price of 40. And guys, guess what? Remember one thing I want to repeat this over and over. These returns down below include the dividend.",UNCERTAIN,0.5,"The surrounding context describes a company with lots of debt, low returns on capital, no growth, and a declining business with a current price being beaten down, which could fit Comcast, but the company is never explicitly named in the provided excerpt, making attribution uncertain.",REAL_ATTRIBUTION,0.95,"The speaker is explicitly analyzing Comcast (CMCSA) using intrinsic value pricing, PE ratios, and dividend returns, making this a direct attribution to the specific company.",,1056,72,0.004248,True,2026-04-19T11:35:58Z
613158,BYD,bullish,K9YbiSYCv1I,Boyd Gaming Corp,"Obviously with a significant percentage of the Daily Journal's marketable securities invested in BYYD and Alibaba, you feel differently. We invested some money in China because we could get more value in terms of the strength of the enterprise and the price of the security than we could get in the United States.",MIS_ATTRIBUTION,0.99,"The quote refers to 'BYYD' (BYD Company, the Chinese electric vehicle manufacturer) and Alibaba as investments held by Daily Journal Corporation, not Boyd Gaming Corp (BYD).",MIS_ATTRIBUTION,0.98,"The quote references 'BYYD' (BYD Company, the Chinese EV/battery firm) and Alibaba as Chinese investments, having no connection to Boyd Gaming Corp (BYD), a US casino operator.",,1004,86,0.004302,True,2026-04-19T11:36:01Z
612983,NVDA,neutral,6_Ll8wL4g9s,NVIDIA Corporation,"Based on free cash flow, I have a low price of 78, high price of 493, middle price of 150. So based on a discounted cash flow model, your return is going to be 6.8% to 8% per year over the next 10 years.",UNCERTAIN,0.5,"The surrounding context discusses a DCF analysis of a company but never explicitly names NVIDIA or any specific ticker, making it impossible to confirm or deny the attribution with certainty.",REAL_ATTRIBUTION,0.99,"The quote is a direct DCF valuation analysis of NVDA specifically, citing price targets and projected returns for the stock.",,997,64,0.003951,True,2026-04-19T11:36:03Z
611817,SH,bullish,Bx5243QljUc,,"There's a much more sinister issue lurking in the shadows. It's not as sexy as AI, but it may be the tip of the iceberg that ends up sinking this raging bull market. Today we're going to talk about the $2 trillion private credit market.",MIS_ATTRIBUTION,0.85,"The quote discusses the private credit market and broader market risks without any mention of SH (ProShares Short S&P500 ETF) by name, ticker, or product, making it a general market commentary rather than a specific discussion of SH.",REAL_ATTRIBUTION,0.85,"SH (Inverse S&P ETF) is a valid conditional/thematic proxy for a bearish macro prediction — the speaker is explicitly warning about a systemic risk that could 'sink this raging bull market,' making a bullish SH attribution a reasonable thematic fit for an inverse market position.",,947,103,0.004386,True,2026-04-19T11:36:05Z
611532,EVENT,bullish,nga0XdGKmZY,,"Come May 15th, Jerome Powell, who is the current chairman of the Federal Reserve Bank, is supposed to be replaced by the new chairman, Kevin Warsh, who was appointed by President Trump.",MIS_ATTRIBUTION,0.85,"The quote discusses Federal Reserve leadership and interest rates in the context of private credit markets broadly, with no mention of EVENT (the events/ticketing company) or its products/services.",MIS_ATTRIBUTION,0.9,"The quote discusses Federal Reserve leadership transition and interest rate policy broadly, with no thematic, sector, or implicit link to the EVENT ticker; a more appropriate ticker might be TLT (long treasuries) or a macro instrument, but EVENT has no connection to this content.",,943,94,0.004239,True,2026-04-19T11:36:09Z
611509,TBT,bullish,SQI7S_u9w_0,,"Now, when you have this higher inflation, the Federal Reserve Bank will then have to make a decision. Do you cut interest rates to try to stimulate the economy, but then make the inflation problem worse? Or do you raise interest rates like we did in the past? The bigger the oil shock, the more pressure there is going to be on the Federal Reserve Bank to raise interest rates.",UNCERTAIN,0.55,"The quote discusses Federal Reserve interest rate decisions and inflation pressures, which is thematically relevant to TBT (a 2x inverse Treasury ETF that benefits from rising rates), but TBT is never explicitly mentioned by name or ticker in the surrounding context.",REAL_ATTRIBUTION,0.92,"TBT is the inverse/leveraged ETF for long-duration Treasuries (2x short 20+ year Treasuries), which is a direct macro proxy for rising interest rates — the speaker explicitly predicts the Fed will raise interest rates, making TBT a valid thematic/macro ETF attribution.",,1024,100,0.004572,True,2026-04-19T11:36:12Z
611359,SPY,bullish,JgFxMUqHHlg,State Street SPDR S&P 500 ETF Trust,I'm focused on the next decade for the public account. I'm focused on where this portfolio goes between now and 2036. There's going to be so much money to be made the next decade.,MIS_ATTRIBUTION,0.8,"The quote refers to a personal 'public account' portfolio with no specific mention of SPY or S&P 500 ETF; it's about a general investment account's growth milestones, not specifically about SPY.",REAL_ATTRIBUTION,0.85,"SPY as the broad S&P 500 ETF is a reasonable proxy for a long-term bullish portfolio growth prediction over the next decade, fitting the macro/broad-market theme ETF pattern.",,1033,82,0.004329,True,2026-04-19T11:36:15Z
611539,TLT,bullish,wa5VZBUfxx8,,"Prior to the conflict in the Middle East, Kevin Worsh has said that he wants to do two things. Number one, he wants to cut interest rates aggressively, and number two, he wants to tighten the balance sheet.",UNCERTAIN,0.55,"The quote discusses cutting interest rates aggressively, which would be bullish for TLT (long-term Treasury bonds), but the context never explicitly mentions TLT or Treasury bonds — it focuses on mortgages, car loans, and general economic effects, making the TLT attribution inferential rather than direct.",REAL_ATTRIBUTION,0.85,"TLT (long-duration Treasury ETF) is a direct macro proxy for interest rate expectations — aggressive rate cuts by a future Fed chair would be bullish for long-duration bonds, making TLT a valid conditional/thematic attribution.",,966,89,0.004233,True,2026-04-19T11:36:18Z
612917,QQQ,bullish,ztkmVoaQLUQ,,the tech stocks that got hammered they may go back to break even not even make new all-time highs or anything they can go back to break even in maybe late 2023 or for example first to mid 2024.,UNCERTAIN,0.55,"The quote discusses 'tech stocks' broadly which aligns with QQQ (Nasdaq-100 ETF), but never explicitly mentions QQQ by name, and the context references Tesla and S&P 500 more specifically, making the attribution to QQQ plausible but not confirmed.",REAL_ATTRIBUTION,0.92,"QQQ is the standard tech/Nasdaq theme ETF and the quote explicitly discusses 'tech stocks that got hammered' recovering, making QQQ a valid proxy for the theme discussed.",,981,74,0.004053,True,2026-04-19T11:36:20Z
613197,UUP,bullish,sddywJwHN-o,,whole dollars and other liquid assets dollars are strengthening as we talked about in my last video so holding plenty of dollars along with liquid assets like treasury bills and notes will be your best bet at outperforming deflation,UNCERTAIN,0.55,"The quote discusses holding dollars and liquid assets during deflation, which aligns with UUP (Invesco DB US Dollar Index Bullish Fund) thematically, but the transcript never explicitly mentions UUP, the fund, or any specific dollar-tracking instrument by name.",REAL_ATTRIBUTION,0.95,"UUP is the Dollar Index ETF, directly matching the speaker's explicit recommendation to hold dollars as they are strengthening — a classic commodity/currency ETF proxy for the dollar theme.",,951,72,0.003933,True,2026-04-19T11:36:23Z
611585,TBT,bullish,gRd2LXq-v98,,"After the attack happened, Wall Street is pricing essentially zero interest rate cuts for the rest of 2026. Because the Federal Reserve Bank cuts interest rates when they're not concerned about inflation, when they're not worried about the prices of things going up.",UNCERTAIN,0.55,"The quote discusses interest rate cuts being priced out, which is directionally bullish for TBT (inverse Treasury ETF that rises when rates/yields rise), but the transcript never mentions TBT by name — it's a general macro discussion that could apply to TBT as a logical inference rather than a direct attribution.",REAL_ATTRIBUTION,0.9,"TBT is the inverse/leveraged inverse Treasury ETF (2x short 20+ year Treasuries), which is directly bullish when interest rate cuts are priced out — fewer cuts mean higher rates, which means lower bond prices and gains for TBT, making this a valid macro/rates proxy attribution.",,960,100,0.00438,True,2026-04-19T11:36:27Z
611336,SPY,bearish,6M0j314e4gY,State Street SPDR S&P 500 ETF Trust,"With the first being path one, the disorderly decline. I think it goes without saying, but Ray Dalio says this is the highest risk category that basically no one does anything. Nobody touches the deficit. They keep kicking the can down the road and eventually it becomes unsustainable. At that point, we're forced into some combination of currency devaluation or a default just to keep the system running.",MIS_ATTRIBUTION,0.75,"The quote discusses Ray Dalio's macroeconomic scenarios about US debt/deficit and currency devaluation broadly, without specifically mentioning SPY, the S&P 500 ETF, or State Street, making it a general macro discussion rather than a SPY-specific prediction.",REAL_ATTRIBUTION,0.92,"The quote describes a macro scenario of disorderly fiscal decline leading to a 20-40% market correction, which is a direct bearish prediction for the broad U.S. equity market represented by SPY.",,1057,82,0.004401,True,2026-04-19T11:36:31Z
